cliente_id,tempo_relacionamento_meses,frequencia_compra_mensal,ticket_medio,dias_desde_ultima_compra,num_categorias_compradas,desconto_medio_solicitado_pct,reclamacoes_ultimo_ano,canal_preferido,categoria_principal,total_gasto,churn
875,22,5.5,1297.67,148,4,5.3,0,App,Linha B,10804.92,0
1679,33,0.7,661.83,34,3,3.0,0,App,Linha B,1338.25,0
731,13,2.3,2039.92,8,3,11.6,0,Telefone,Linha B,4949.88,0
574,84,0.6,864.91,135,4,1.2,1,Telefone,Linha C,3902.5,0
719,92,1.3,405.52,35,5,8.9,1,Telefone,Linha B,5203.7,0
578,59,3.4,494.15,14,5,2.4,1,WhatsApp,Linha E,6136.29,0
57,53,3.3,925.66,194,2,9.8,1,WhatsApp,Linha D,12149.12,0
869,21,5.0,1493.45,67,2,9.6,1,WhatsApp,Linha D,15043.26,0
1729,70,0.6,833.05,134,1,3.4,0,App,Linha D,2097.33,0
187,27,4.2,1072.31,47,1,1.7,1,WhatsApp,Linha B,7289.44,0
283,19,5.9,2408.41,2,1,9.3,1,WhatsApp,Linha D,20004.9,0
1139,45,8.6,832.59,43,5,10.7,0,Presencial,Linha E,28476.67,0
1045,69,2.2,2483.15,57,3,9.5,2,WhatsApp,Linha B,24947.21,0
1069,37,1.2,1821.31,13,4,12.9,0,Telefone,Linha E,6789.19,0
1625,17,1.3,809.33,193,5,7.0,1,Presencial,Linha E,1735.73,0
676,44,1.2,1285.12,180,1,1.3,0,Presencial,Linha B,6206.71,1
1702,58,5.5,1561.18,142,1,2.6,2,App,Linha A,43806.8,1
1887,41,3.0,918.11,127,1,6.1,0,WhatsApp,Linha E,8988.9,0
1825,72,0.3,2550.33,162,1,5.4,2,Telefone,Linha A,5320.47,1
1762,36,5.4,360.1,138,5,7.4,0,Presencial,Linha C,5700.4,0
1419,11,2.3,1813.08,192,1,0.7,0,Telefone,Linha B,2697.82,1
588,78,4.5,2108.84,192,1,5.4,1,WhatsApp,Linha B,46219.75,0
193,27,3.0,817.23,200,4,12.3,0,Telefone,Linha D,4433.9,0
694,15,5.2,535.11,188,4,1.0,1,Telefone,Linha A,2712.43,0
765,69,2.5,492.02,92,1,7.5,0,Presencial,Linha B,6475.51,0
672,33,0.0,694.96,79,1,1.6,0,WhatsApp,Linha E,0.0,0
900,36,1.9,1332.86,130,4,5.1,1,Presencial,Linha D,9142.34,1
1689,41,2.2,366.74,89,5,2.3,0,Telefone,Linha C,3263.11,0
1072,78,2.7,1114.58,57,3,1.8,0,WhatsApp,Linha E,18263.39,0
305,80,1.3,685.66,62,2,7.3,0,Telefone,Linha E,6609.33,0
121,5,3.6,752.85,50,3,5.2,0,WhatsApp,Linha C,1091.59,0
1101,7,3.7,461.29,75,5,8.8,1,App,Linha E,1093.15,0
1257,62,2.3,1305.69,17,3,2.7,0,App,Linha D,16680.3,0
1416,26,0.9,268.71,100,2,9.4,0,App,Linha C,443.04,1
873,42,1.8,676.51,153,5,9.5,0,App,Linha D,5405.95,1
1271,47,1.0,410.05,6,2,11.3,0,Presencial,Linha D,1981.11,0
536,35,0.4,1345.02,169,4,2.8,0,WhatsApp,Linha B,1864.68,0
730,29,1.3,952.22,195,2,5.2,0,Presencial,Linha C,2380.87,1
1403,17,0.4,1070.42,205,2,4.6,0,App,Linha A,580.31,0
1812,38,0.9,886.38,67,3,11.7,0,WhatsApp,Linha A,1887.67,0
1619,20,2.3,264.99,154,2,7.1,0,Telefone,Linha B,994.91,1
1843,24,10.1,533.79,173,4,7.4,0,WhatsApp,Linha E,9632.8,0
1911,38,0.8,291.45,47,2,2.2,1,App,Linha D,944.6,1
1441,73,1.4,663.4,146,5,5.4,1,App,Linha A,5186.76,1
1028,13,3.7,1333.04,195,2,4.9,0,WhatsApp,Linha C,6921.82,1
1370,22,0.9,1948.64,156,5,10.7,0,Telefone,Linha A,3204.46,0
1136,47,4.1,1167.93,149,4,2.7,1,WhatsApp,Linha A,22976.2,0
1438,26,5.1,512.31,27,3,13.6,0,App,Linha D,6848.74,0
775,83,2.6,358.14,92,3,2.3,2,App,Linha B,7706.07,0
326,38,3.2,63.83,56,2,9.1,0,Telefone,Linha B,715.23,0
656,13,0.7,599.36,158,5,1.2,0,App,Linha E,452.38,1
103,29,4.2,1137.84,201,3,2.9,0,Presencial,Linha B,14530.06,0
127,12,3.3,1532.74,95,5,11.0,0,Presencial,Linha A,4716.16,0
1054,35,2.3,699.01,156,3,4.6,0,App,Linha B,4574.39,0
1228,70,0.2,977.01,205,4,7.0,0,Presencial,Linha C,1473.62,0
928,74,2.5,1111.69,166,1,8.2,0,App,Linha E,19240.57,0
49,39,3.4,482.25,137,4,12.4,0,App,Linha D,4789.02,0
112,8,2.7,465.69,58,2,8.3,3,Telefone,Linha D,848.46,0
237,70,1.3,813.24,176,3,1.7,1,App,Linha B,7367.91,1
373,47,2.6,755.97,165,4,9.8,0,App,Linha D,5586.12,0
995,75,3.7,1543.53,164,3,3.9,1,Presencial,Linha E,33720.19,1
286,3,1.0,820.48,14,1,4.0,1,Presencial,Linha C,176.62,0
1972,56,5.1,619.38,107,2,2.7,1,WhatsApp,Linha D,17494.16,0
1713,2,0.8,715.8,116,3,2.9,0,Presencial,Linha E,117.89,0
561,82,0.7,1579.71,72,1,2.7,0,Telefone,Linha E,7844.34,0
1298,57,0.5,1439.82,11,5,1.4,0,WhatsApp,Linha E,4359.87,0
1465,55,3.0,374.94,78,1,10.0,0,WhatsApp,Linha E,6052.29,1
878,1,3.4,1184.59,86,5,9.5,0,App,Linha B,396.82,1
88,15,1.0,1616.72,209,1,0.7,0,WhatsApp,Linha D,2228.24,1
1686,59,0.4,1131.93,131,5,2.6,0,WhatsApp,Linha D,1939.28,0
109,9,0.4,961.47,30,3,5.6,0,Presencial,Linha A,308.65,1
987,79,4.9,1981.33,83,4,5.5,2,Telefone,Linha D,51046.04,0
48,73,2.3,1460.56,137,4,11.3,1,WhatsApp,Linha D,23990.37,0
699,16,3.8,998.25,172,3,6.6,0,Presencial,Linha B,5236.75,0
1955,45,1.4,1840.77,113,1,6.7,0,WhatsApp,Linha E,8714.87,1
1808,69,1.2,626.5,166,5,8.1,0,App,Linha D,4780.83,0
1343,2,1.1,597.1,59,1,4.0,0,WhatsApp,Linha C,106.31,1
701,57,1.4,508.48,82,4,7.2,0,Telefone,Linha B,4276.03,0
1147,27,3.6,1533.26,197,2,7.9,0,App,Linha E,13279.74,0
556,73,1.2,621.34,142,2,1.6,1,Telefone,Linha A,3627.95,0
479,69,1.9,628.59,62,5,7.9,0,WhatsApp,Linha E,8888.05,0
1481,82,3.2,313.42,162,3,3.9,0,Presencial,Linha B,7922.27,1
1987,85,0.9,579.61,134,3,9.8,0,App,Linha A,2921.23,0
487,90,3.2,869.33,218,2,5.4,0,App,Linha A,17991.68,0
858,56,1.2,1891.54,81,4,2.9,0,App,Linha D,12823.17,1
702,75,2.5,1695.81,10,3,4.3,1,WhatsApp,Linha E,26676.28,0
1087,23,1.7,247.53,21,4,3.5,2,WhatsApp,Linha D,885.06,0
1596,25,2.7,914.7,125,2,2.7,1,App,Linha C,6078.09,0
1088,63,2.1,559.51,107,2,14.0,0,Presencial,Linha A,5805.77,1
1059,60,1.7,1418.89,80,4,3.2,0,WhatsApp,Linha A,11026.37,0
1232,29,4.9,1598.78,86,1,2.5,0,Telefone,Linha B,24210.64,0
1648,5,4.1,863.99,119,1,4.0,0,WhatsApp,Linha D,1091.68,0
1220,43,3.0,1621.6,203,4,7.8,0,Presencial,Linha C,21441.05,0
828,30,1.9,1073.62,40,4,3.9,1,WhatsApp,Linha D,5705.38,0
1315,16,4.1,502.37,117,3,8.0,0,App,Linha D,2849.14,0
1248,49,5.6,1789.21,20,2,0.7,1,App,Linha B,43415.14,0
1229,88,1.4,169.29,5,3,3.2,1,Telefone,Linha D,2115.48,0
1945,41,4.6,1327.42,36,1,2.9,2,App,Linha E,25477.56,0
951,6,0.5,2401.25,96,1,6.0,0,App,Linha E,447.14,0
1238,49,5.2,1704.37,91,4,3.2,0,Telefone,Linha D,28710.47,0
746,18,6.2,467.89,42,3,4.1,0,App,Linha E,3914.86,0
762,6,2.0,1008.55,235,4,4.2,0,WhatsApp,Linha A,1303.04,1
407,66,0.9,597.32,53,4,5.4,1,WhatsApp,Linha B,2207.78,1
693,14,1.8,1999.03,142,5,2.0,2,Telefone,Linha E,3904.18,0
1066,30,3.5,1520.08,140,2,8.7,1,App,Linha A,10668.39,0
1931,92,2.1,1186.69,156,1,9.5,0,App,Linha D,17310.92,1
349,46,2.7,1007.3,155,1,10.4,0,WhatsApp,Linha C,9929.12,0
1787,32,3.3,570.95,129,4,8.0,0,App,Linha D,4702.73,0
170,66,0.5,968.83,210,4,3.7,0,App,Linha E,2730.63,0
888,27,4.3,1500.32,13,2,6.6,0,App,Linha E,12928.76,0
481,94,0.5,947.86,103,1,7.2,0,Telefone,Linha C,4476.31,0
1611,6,3.4,943.4,5,2,3.9,1,WhatsApp,Linha B,1226.53,0
1335,60,1.8,486.12,136,4,2.4,0,WhatsApp,Linha D,4943.21,0
513,24,3.0,3416.29,203,3,2.4,1,WhatsApp,Linha E,25414.59,0
1422,36,3.7,79.0,89,3,6.8,0,WhatsApp,Linha B,693.95,0
1167,76,1.9,932.66,81,3,11.3,0,App,Linha B,11916.28,0
1947,14,2.2,1076.29,152,4,9.8,1,Telefone,Linha D,2025.87,1
1074,62,1.3,491.81,144,2,6.1,0,WhatsApp,Linha E,3861.31,0
1692,89,0.2,216.27,221,3,4.5,0,WhatsApp,Linha B,368.45,0
511,91,7.3,1411.21,214,5,4.0,0,WhatsApp,Linha E,62418.47,1
390,25,1.6,1372.38,112,4,4.2,0,Presencial,Linha D,4477.05,0
1658,18,3.2,357.91,124,4,7.2,0,WhatsApp,Linha B,1325.68,0
1029,40,2.0,1170.59,15,4,4.0,0,WhatsApp,Linha A,6504.23,0
182,75,1.7,483.26,182,4,11.6,0,App,Linha A,3620.21,0
1541,34,3.0,2925.38,117,3,2.2,1,WhatsApp,Linha E,17734.15,0
1244,86,2.0,1758.1,16,1,5.4,0,App,Linha C,32351.86,0
1863,72,4.2,486.62,129,4,3.9,2,Telefone,Linha E,9830.3,0
613,75,3.6,175.59,78,1,6.9,1,WhatsApp,Linha B,4165.48,1
1429,69,3.9,468.47,149,3,2.5,0,App,Linha C,11955.3,0
1110,27,1.5,755.98,2,1,2.4,0,Telefone,Linha C,1900.22,0
1552,62,2.1,652.79,140,5,4.7,1,App,Linha E,6589.3,1
1168,68,1.4,809.39,213,3,1.7,1,Presencial,Linha C,5285.48,0
624,42,2.3,1353.36,10,4,7.7,0,Presencial,Linha A,13827.9,0
138,35,1.6,443.19,91,2,1.8,1,Telefone,Linha C,2620.03,1
1568,68,0.7,675.54,18,1,8.3,0,Telefone,Linha C,2667.1,0
162,29,2.4,1051.61,15,4,1.0,0,App,Linha A,6081.98,0
310,33,0.1,2538.75,103,5,7.0,1,App,Linha B,855.97,0
1263,93,1.1,411.49,223,5,4.6,0,WhatsApp,Linha D,3459.87,0
749,85,3.4,928.09,9,1,5.7,0,App,Linha E,22830.11,0
698,3,1.4,2738.17,115,2,2.6,0,App,Linha E,842.81,0
1444,1,0.7,1736.57,52,2,1.8,0,WhatsApp,Linha C,80.47,0
178,44,1.4,969.61,2,5,3.1,1,Presencial,Linha C,6396.24,0
1562,94,2.8,581.61,44,1,3.8,1,Presencial,Linha C,16196.73,0
271,7,4.8,374.4,112,4,3.0,0,WhatsApp,Linha B,809.1,0
526,40,0.5,776.15,51,4,6.3,0,WhatsApp,Linha C,1681.53,0
988,6,5.8,1883.17,194,3,8.4,1,App,Linha A,6237.81,1
847,43,1.9,904.97,72,3,3.7,1,Telefone,Linha E,5325.03,0
564,62,1.4,648.03,129,4,6.2,0,WhatsApp,Linha C,3681.54,1
1266,40,1.0,710.31,189,5,1.5,0,Telefone,Linha E,2606.18,1
994,79,2.3,755.02,34,3,8.1,1,Telefone,Linha C,14276.35,1
1603,93,5.0,1943.61,18,5,11.1,0,Telefone,Linha D,76559.14,0
662,61,5.1,848.98,236,2,1.1,0,WhatsApp,Linha A,24300.61,0
1991,24,1.2,694.84,229,2,2.9,1,App,Linha B,1669.44,1
1016,11,1.0,834.21,226,2,2.1,0,WhatsApp,Linha C,939.42,1
1633,14,3.8,874.62,99,4,1.9,1,App,Linha A,3742.7,0
1292,32,0.8,1904.26,195,5,4.1,0,App,Linha C,2965.77,1
1407,62,1.9,1269.55,113,1,11.5,0,Telefone,Linha C,10774.1,0
195,62,2.5,1519.5,144,3,8.3,0,App,Linha E,16644.14,0
626,50,0.6,784.14,85,1,3.9,0,WhatsApp,Linha A,1962.29,0
383,43,2.7,197.99,221,3,10.4,0,WhatsApp,Linha B,2123.99,1
1519,45,5.1,852.88,219,3,6.1,2,App,Linha A,16223.07,0
1216,91,1.6,656.17,220,3,3.8,1,App,Linha D,7079.96,1
1548,46,1.7,1164.6,42,2,6.3,0,Telefone,Linha D,7301.86,0
259,39,3.1,501.39,167,3,11.9,0,App,Linha C,4503.56,0
76,54,0.7,1259.15,161,3,5.9,0,WhatsApp,Linha D,3075.54,1
191,70,2.0,529.7,221,2,10.4,1,Presencial,Linha A,6458.02,1
322,59,2.5,684.31,114,3,7.0,1,App,Linha B,8117.83,0
973,55,1.6,1364.33,15,1,6.9,0,Presencial,Linha B,12726.59,1
927,28,4.5,762.4,219,1,9.7,0,Telefone,Linha E,6379.25,1
542,26,2.5,1247.75,19,2,12.6,1,WhatsApp,Linha B,8404.51,0
1133,8,1.5,742.74,31,2,2.8,1,WhatsApp,Linha A,687.34,0
1583,59,2.8,257.69,53,1,7.7,0,App,Linha A,4251.03,0
1245,92,2.8,388.17,54,4,10.9,0,WhatsApp,Linha D,7289.35,0
1948,75,0.5,352.84,168,2,4.9,0,App,Linha D,1111.82,0
861,67,1.0,1466.85,127,5,4.0,0,App,Linha C,5828.5,1
1477,80,2.3,135.88,156,1,3.0,1,Telefone,Linha B,2453.03,1
1786,75,1.1,1678.52,21,3,10.8,1,WhatsApp,Linha C,8601.25,0
1268,18,5.6,1506.9,122,1,8.4,1,WhatsApp,Linha C,16091.91,0
841,69,1.4,1803.5,9,5,7.0,2,App,Linha A,14197.39,1
1635,56,2.5,702.05,12,4,12.1,0,App,Linha A,9354.44,0
1866,77,0.4,2899.64,153,2,8.9,1,Telefone,Linha A,5958.27,0
293,72,0.8,513.01,55,1,5.6,0,WhatsApp,Linha E,2286.12,1
661,72,0.7,171.53,176,5,7.4,0,WhatsApp,Linha D,638.41,0
825,38,2.2,320.35,61,3,2.9,0,Telefone,Linha E,2429.2,0
302,66,1.5,1204.85,1,5,5.5,1,WhatsApp,Linha D,10305.49,0
926,89,3.3,357.66,236,1,3.2,1,Presencial,Linha E,8532.6,0
454,12,1.7,419.82,9,1,10.2,1,App,Linha A,513.12,1
1779,4,4.0,1193.49,125,3,7.6,0,Telefone,Linha D,1356.09,0
944,86,3.2,614.24,79,2,7.4,0,Telefone,Linha C,17291.14,0
1448,42,2.6,964.44,91,5,13.8,1,App,Linha A,11128.41,1
1529,4,3.3,616.14,239,1,6.7,0,App,Linha A,849.97,0
1337,2,3.9,121.44,30,5,0.4,0,Telefone,Linha C,93.11,0
120,33,0.6,564.61,77,4,6.2,0,Telefone,Linha A,783.47,1
1899,74,0.9,621.69,95,2,13.6,0,Presencial,Linha B,2836.32,0
38,62,2.7,465.13,148,5,5.5,1,Telefone,Linha A,8149.68,0
862,27,5.4,556.95,191,5,9.5,0,WhatsApp,Linha B,5694.26,0
1042,94,3.9,236.51,152,4,3.9,0,App,Linha D,5443.03,0
242,59,1.3,984.96,23,2,3.0,0,App,Linha E,5718.03,0
1555,56,0.9,1269.55,142,5,1.9,0,WhatsApp,Linha B,6779.33,0
1377,75,1.5,1126.0,46,3,7.5,0,Presencial,Linha B,7429.44,0
1247,61,1.7,622.52,140,4,2.2,1,Telefone,Linha E,4089.57,0
1788,2,0.7,1555.49,107,5,4.6,0,Telefone,Linha D,137.29,0
953,26,3.6,1005.55,5,4,6.6,0,Telefone,Linha C,9993.82,1
224,44,1.0,1180.12,218,1,6.3,2,WhatsApp,Linha A,4092.96,1
1052,34,1.8,526.7,203,3,8.0,0,Telefone,Linha A,2873.54,1
780,1,1.4,1394.95,42,2,6.2,2,WhatsApp,Linha E,134.41,0
1457,19,2.7,598.55,105,3,6.3,0,App,Linha B,3315.88,1
1272,66,1.4,733.83,156,2,5.1,0,App,Linha B,4123.69,1
1502,9,4.7,554.15,9,1,0.9,0,WhatsApp,Linha B,1761.27,0
1547,39,1.4,953.77,138,5,7.8,2,App,Linha D,3095.67,0
615,76,3.8,204.18,80,3,1.0,0,Telefone,Linha C,5374.84,0
508,2,2.0,941.54,163,2,3.2,1,Presencial,Linha E,332.15,0
1806,19,1.9,1581.0,2,2,11.7,0,WhatsApp,Linha D,3373.4,0
9,75,0.5,507.33,201,1,5.2,1,Presencial,Linha B,1789.87,1
298,25,3.5,782.48,218,5,11.0,0,App,Linha D,4611.37,0
1018,3,0.4,661.65,156,4,5.3,0,App,Linha B,62.15,1
923,38,1.7,653.66,30,1,2.3,1,WhatsApp,Linha D,4224.98,1
1905,30,4.8,542.78,42,1,2.9,0,WhatsApp,Linha A,7914.65,0
1640,67,1.1,431.52,10,3,11.1,0,App,Linha B,2309.08,0
387,42,7.1,334.04,44,5,4.6,0,Presencial,Linha D,9234.33,1
332,21,1.7,886.57,132,4,6.4,1,App,Linha D,2419.93,1
1284,32,0.2,951.95,10,5,4.6,0,Telefone,Linha B,595.29,0
1707,32,1.0,1917.84,14,3,15.0,0,Telefone,Linha A,4045.14,1
1514,17,4.1,2671.11,91,4,8.3,1,WhatsApp,Linha B,14372.47,0
1173,31,2.0,304.85,15,1,8.3,0,Telefone,Linha A,1417.66,0
1039,24,4.3,1477.85,206,4,3.2,0,App,Linha E,10286.64,0
1736,60,1.9,319.33,79,4,1.0,0,Presencial,Linha B,3707.66,0
738,25,2.1,1167.98,2,1,1.0,1,WhatsApp,Linha E,4346.23,1
203,88,1.6,1712.51,147,4,4.0,0,Telefone,Linha C,18340.08,1
1305,67,3.0,1319.36,62,5,8.0,0,Presencial,Linha E,17552.3,0
1647,25,2.7,482.29,29,4,1.6,0,WhatsApp,Linha D,3239.56,0
61,60,4.4,1712.19,98,1,1.8,0,App,Linha A,38394.22,0
1623,82,1.8,1028.33,78,3,2.9,0,App,Linha D,10133.89,0
1639,9,3.7,933.29,85,2,8.7,0,WhatsApp,Linha A,2219.69,0
1275,38,1.4,1124.14,186,1,6.3,0,Telefone,Linha E,5719.86,0
621,46,0.4,490.82,135,5,9.4,0,App,Linha C,569.31,1
1362,81,0.7,1185.01,172,5,3.8,1,App,Linha C,5756.03,1
1185,21,0.8,1181.76,144,5,9.4,1,App,Linha A,1910.32,0
1163,82,0.9,912.84,102,3,9.0,0,WhatsApp,Linha B,5148.13,0
369,67,1.7,1433.19,152,3,6.6,0,Presencial,Linha B,14627.45,0
1199,73,4.4,675.79,136,3,4.7,0,App,Linha C,13961.66,1
811,66,0.8,1175.57,122,1,6.4,0,App,Linha E,5662.83,0
1205,26,3.7,1308.47,86,5,5.2,0,WhatsApp,Linha B,12098.17,0
1009,47,3.7,1141.63,9,1,8.8,0,WhatsApp,Linha D,19937.32,0
889,73,0.5,552.68,47,3,2.2,1,App,Linha B,2012.9,0
99,26,3.7,256.36,101,2,9.1,0,Telefone,Linha D,2395.92,0
1669,45,6.7,820.54,63,2,4.0,0,Telefone,Linha E,25686.83,0
261,1,1.4,544.45,135,4,3.8,2,Presencial,Linha E,47.37,0
1001,5,0.6,407.58,219,5,2.9,0,WhatsApp,Linha B,98.08,1
159,23,1.8,686.0,216,2,5.3,1,App,Linha C,2914.54,0
1549,29,3.5,606.16,37,3,17.9,0,App,Linha E,6030.21,0
548,58,7.8,520.0,37,4,10.6,1,Presencial,Linha D,20452.02,0
1758,64,1.5,307.72,227,1,2.0,0,App,Linha E,2267.78,1
1404,26,0.5,922.59,64,4,7.2,0,App,Linha A,1096.73,1
1179,41,0.5,356.26,238,5,1.9,0,Presencial,Linha A,718.18,1
1900,40,6.8,1516.58,118,2,1.4,0,Telefone,Linha C,38239.66,0
397,45,2.2,1764.49,157,1,1.5,0,App,Linha A,14788.95,0
1160,90,0.7,388.98,96,4,5.5,0,WhatsApp,Linha D,2257.51,0
1007,20,2.2,2016.83,174,5,0.6,2,App,Linha C,6249.32,1
1380,85,4.0,1151.66,38,1,3.5,0,Telefone,Linha C,34699.86,1
83,74,1.3,1122.86,52,1,4.4,0,App,Linha C,9255.01,0
1594,62,2.3,694.19,87,2,5.0,1,Telefone,Linha D,10391.41,1
983,84,1.6,736.13,32,3,2.8,0,WhatsApp,Linha B,7744.43,0
1798,92,1.4,2132.88,174,4,3.5,0,App,Linha C,18585.73,1
105,45,1.1,772.66,13,3,3.3,1,Telefone,Linha B,3469.25,0
770,23,0.8,1408.35,212,3,7.1,1,App,Linha E,2031.42,1
597,85,1.0,1770.0,19,2,1.3,1,App,Linha E,11711.73,0
1339,47,2.1,818.03,8,2,4.5,0,App,Linha E,8128.49,0
433,6,0.7,583.04,37,3,2.2,1,Telefone,Linha C,176.15,1
404,87,1.3,803.9,125,5,16.1,0,WhatsApp,Linha D,8618.89,1
1612,5,4.4,504.14,231,4,4.6,1,Telefone,Linha E,1032.86,0
1883,11,4.6,1175.04,137,3,4.2,1,WhatsApp,Linha A,4186.96,1
1751,10,1.2,1402.03,15,2,5.3,0,Presencial,Linha A,1115.3,0
960,53,1.0,600.04,151,1,6.5,0,Presencial,Linha C,2239.55,0
1476,87,1.0,1891.29,145,1,9.4,1,WhatsApp,Linha D,11501.62,1
1523,40,2.4,1175.86,200,2,2.7,1,App,Linha E,7104.99,1
917,59,2.3,2050.24,12,2,4.5,0,App,Linha D,25137.61,0
1731,30,2.8,851.09,203,1,4.7,1,Presencial,Linha D,7706.96,0
1212,38,1.5,1020.54,132,2,3.1,0,WhatsApp,Linha B,6096.75,0
1872,64,3.1,231.48,26,2,10.8,1,WhatsApp,Linha C,3297.78,0
134,37,1.7,428.4,157,5,1.0,0,WhatsApp,Linha D,2729.91,0
228,32,1.9,1034.27,10,4,5.5,0,App,Linha B,4346.43,0
1638,29,2.8,418.04,79,4,6.6,0,App,Linha E,3305.27,0
1396,91,4.1,1239.12,213,3,4.0,0,WhatsApp,Linha D,28546.33,0
92,62,9.1,800.63,124,1,5.0,1,App,Linha E,44270.36,0
580,49,1.5,1287.39,50,1,4.7,2,WhatsApp,Linha B,6341.33,1
903,52,1.7,1084.05,79,4,2.6,0,WhatsApp,Linha E,7658.06,1
12,24,1.1,637.1,3,2,1.4,0,App,Linha C,1733.92,0
901,1,2.4,674.11,68,5,9.3,1,App,Linha E,140.87,1
1513,59,3.7,1610.13,179,4,11.0,1,WhatsApp,Linha A,30402.95,0
54,14,1.5,757.22,22,1,9.7,0,App,Linha E,1551.58,0
268,31,0.8,208.71,232,5,9.1,0,WhatsApp,Linha B,319.93,0
1682,19,0.5,1305.26,209,1,7.8,0,App,Linha A,1144.49,0
1940,6,2.1,1511.14,239,3,0.6,0,Presencial,Linha E,1485.13,0
1989,58,2.1,1123.66,160,4,12.5,0,Presencial,Linha A,10589.24,0
429,53,2.1,1115.8,59,4,6.3,0,App,Linha D,12308.67,0
1605,54,4.0,1232.03,198,1,5.7,1,App,Linha D,18028.62,1
108,71,3.2,251.51,220,4,4.2,0,App,Linha C,4081.67,0
835,56,2.6,906.06,69,3,8.9,0,Presencial,Linha E,12800.04,0
66,35,2.8,810.9,46,5,3.8,0,App,Linha B,6278.25,0
1826,60,0.8,460.57,50,4,1.6,0,Presencial,Linha A,2177.94,0
1302,59,0.3,1258.71,227,5,13.2,0,WhatsApp,Linha B,2049.54,0
537,87,0.7,869.7,59,1,5.7,0,Telefone,Linha A,4470.92,0
1471,83,3.4,1449.43,112,3,1.3,0,WhatsApp,Linha B,40523.24,0
168,86,1.2,2807.59,64,5,3.3,2,Telefone,Linha E,30826.77,0
958,70,1.8,745.45,164,3,3.7,2,App,Linha B,6953.88,1
367,54,2.8,1416.09,13,3,4.1,0,WhatsApp,Linha B,15494.41,0
599,23,6.6,1039.7,22,2,4.4,0,App,Linha A,12032.92,0
265,89,0.8,640.93,59,5,7.1,1,WhatsApp,Linha C,4023.71,0
352,24,3.0,1088.15,127,5,12.8,2,WhatsApp,Linha A,7480.74,1
422,52,2.5,891.45,81,3,2.0,0,App,Linha C,9325.74,0
1118,68,1.5,1163.68,70,1,8.0,0,App,Linha D,8656.15,0
1984,76,1.6,1429.82,30,2,4.2,0,App,Linha A,15139.28,0
1652,79,3.1,3042.26,196,4,2.9,0,Telefone,Linha A,65109.89,0
269,94,2.7,567.39,86,4,3.3,1,Telefone,Linha C,12379.15,1
794,34,1.8,271.56,224,1,10.9,0,WhatsApp,Linha C,1063.58,0
4,72,5.8,1741.18,166,4,1.7,1,App,Linha B,73112.22,0
1382,41,0.8,1175.18,104,2,1.0,3,App,Linha A,4142.45,0
